,Problem,P1,P2,P3,PJS1,PJS2,PJS3,MSPJS1,MSPJS2,MSPJS3,Heur,RTMeta,IntMeta,SepHeur,SepMeta
0,g12_4_k.txt,p1.4.k.txt,p2.4.k.txt,0,0.001,0.0,0.0,1.393,0.494,0.0,0.0,2.773,40.707,0.002,1.887
1,g26_2_k.txt,p2.2.k.txt,p6.2.k.txt,0,0.001,0.008,0.0,0.607,7.336,0.0,0.0,8.012,120.276,0.008,7.942
2,g57_2_n.txt,p5.2.n.txt,p7.2.n.txt,0,0.008,0.028,0.0,7.656,27.766,0.0,0.001,42.075,647.621,0.035,35.421
3,g45_2_n.txt,p4.2.n.txt,p5.2.n.txt,0,0.026,0.007,0.0,25.945,7.03,0.0,0.001,39.776,633.844,0.033,32.975
4,g57_4_c.txt,p5.4.c.txt,p7.4.c.txt,0,0.008,0.027,0.0,7.603,25.942,0.0,0.001,40.424,691.583,0.034,33.545
5,g45_4_n.txt,p4.4.n.txt,p5.4.n.txt,0,0.026,0.008,0.0,26.45,7.582,0.0,0.001,41.5,644.527,0.034,34.032
6,g14_4_n.txt,p1.4.n.txt,p4.4.n.txt,0,0.001,0.026,0.0,1.061,25.996,0.0,0.0,21.92,336.482,0.027,27.057
7,g35_2_c.txt,p3.2.c.txt,p5.2.c.txt,0,0.002,0.008,0.0,1.433,7.413,0.0,0.0,10.833,164.693,0.009,8.847
8,g35_4_c.txt,p3.4.c.txt,p5.4.c.txt,0,0.001,0.007,0.0,1.026,6.865,0.0,0.0,9.479,141.815,0.008,7.891
9,g14_4_c.txt,p1.4.c.txt,p4.4.c.txt,0,0.002,0.025,0.0,1.448,24.345,0.0,0.0,21.077,326.459,0.026,25.793
10,g12_2_k.txt,p1.2.k.txt,p2.2.k.txt,0,0.002,0.001,0.0,1.494,0.589,0.0,0.0,2.986,43.02,0.003,2.083
11,g45_2_c.txt,p4.2.c.txt,p5.2.c.txt,0,0.026,0.008,0.0,26.041,7.699,0.0,0.0,40.971,631.856,0.034,33.739
12,g47_2_n.txt,p4.2.n.txt,p7.2.n.txt,0,0.026,0.029,0.0,25.99,27.894,0.0,0.001,70.057,1106.241,0.055,53.884
13,g12_2_c.txt,p1.2.c.txt,p2.2.c.txt,0,0.001,0.001,0.0,1.302,0.546,0.0,0.0,2.732,40.29,0.002,1.848
14,g26_2_c.txt,p2.2.c.txt,p6.2.c.txt,0,0.001,0.007,0.0,0.55,6.411,0.0,0.0,7.246,109.353,0.007,6.961
15,g35_4_n.txt,p3.4.n.txt,p5.4.n.txt,0,0.002,0.008,0.0,1.56,8.062,0.0,0.0,10.997,167.576,0.01,9.622
16,g14_2_n.txt,p1.2.n.txt,p4.2.n.txt,0,0.001,0.027,0.0,1.167,26.071,0.0,0.0,21.679,330.551,0.029,27.238
17,g57_2_c.txt,p5.2.c.txt,p7.2.c.txt,0,0.008,0.026,0.0,7.836,26.366,0.0,0.001,39.853,621.398,0.034,34.201
18,g47_4_c.txt,p4.4.c.txt,p7.4.c.txt,0,0.024,0.026,0.0,24.203,26.117,0.0,0.001,67.462,1073.766,0.05,50.32
19,g14_2_c.txt,p1.2.c.txt,p4.2.c.txt,0,0.001,0.026,0.0,1.427,25.601,0.0,0.0,22.208,341.743,0.027,27.028
20,g35_2_n.txt,p3.2.n.txt,p5.2.n.txt,0,0.002,0.008,0.0,1.531,7.724,0.0,0.0,11.176,169.24,0.009,9.255
21,g47_2_c.txt,p4.2.c.txt,p7.2.c.txt,0,0.026,0.026,0.0,25.783,26.352,0.0,0.001,69.823,1107.088,0.052,52.135
22,g47_4_n.txt,p4.4.n.txt,p7.4.n.txt,0,0.028,0.031,0.0,26.268,28.131,0.0,0.001,71.204,1124.252,0.059,54.398
23,g12_4_c.txt,p1.4.c.txt,p2.4.c.txt,0,0.001,0.0,0.0,1.21,0.399,0.0,0.0,2.502,34.746,0.002,1.609
24,g57_4_n.txt,p5.4.n.txt,p7.4.n.txt,0,0.008,0.028,0.0,7.629,28.067,0.0,0.0,41.924,653.509,0.036,35.696
25,g26_4_c.txt,p2.4.c.txt,p6.4.c.txt,0,0.001,0.006,0.0,0.405,6.408,0.0,0.0,6.348,95.896,0.007,6.813
26,g26_4_k.txt,p2.4.k.txt,p6.4.k.txt,0,0.001,0.007,0.0,0.477,7.132,0.0,0.0,7.751,115.494,0.008,7.608
27,g45_4_c.txt,p4.4.c.txt,p5.4.c.txt,0,0.025,0.008,0.0,24.321,8.04,0.0,0.0,39.042,603.495,0.033,32.361
28,g123_4_k.txt,p1.4.k.txt,p2.4.k.txt,p3.4.k.txt,0.002,0.001,0.001,1.491,0.481,1.462,0.0,6.899,102.274,0.004,3.434
29,g456_2_n.txt,p4.2.n.txt,p5.2.n.txt,p6.2.n.txt,0.026,0.008,0.007,26.183,7.636,7.222,0.001,65.823,1034.408,0.041,41.041
30,g356_4_c.txt,p3.4.c.txt,p5.4.c.txt,p6.4.c.txt,0.001,0.007,0.006,1.036,6.895,6.332,0.001,25.573,394.39,0.014,14.263
31,g346_2_n.txt,p3.2.n.txt,p4.2.n.txt,p6.2.n.txt,0.002,0.026,0.007,1.54,26.104,7.136,0.001,45.213,707.122,0.035,34.779
32,g127_4_c.txt,p1.4.c.txt,p2.4.c.txt,p7.4.c.txt,0.002,0.0,0.026,1.455,0.461,25.931,0.001,24.1,367.779,0.028,27.847
33,g127_4_k.txt,p1.4.k.txt,p2.4.k.txt,p7.4.k.txt,0.001,0.001,0.027,1.281,0.523,27.283,0.001,25.979,393.649,0.029,29.086
34,g356_4_n.txt,p3.4.n.txt,p5.4.n.txt,p6.4.n.txt,0.002,0.008,0.007,1.551,7.987,7.19,0.001,28.809,443.279,0.017,16.727
35,g256_2_c.txt,p2.2.c.txt,p5.2.c.txt,p6.2.c.txt,0.001,0.007,0.006,0.538,7.302,6.361,0.001,23.195,352.893,0.014,14.201
36,g123_2_c.txt,p1.2.c.txt,p2.2.c.txt,p3.2.c.txt,0.001,0.001,0.002,1.353,0.541,1.435,0.0,6.952,103.332,0.004,3.329
37,g146_4_n.txt,p1.4.n.txt,p4.4.n.txt,p6.4.n.txt,0.001,0.026,0.007,1.05,26.093,7.124,0.001,44.187,684.716,0.034,34.266
38,g346_4_c.txt,p3.4.c.txt,p4.4.c.txt,p6.4.c.txt,0.002,0.025,0.007,1.497,24.336,7.068,0.001,44.33,692.942,0.033,32.901
39,g346_4_n.txt,p3.4.n.txt,p4.4.n.txt,p6.4.n.txt,0.001,0.026,0.007,1.511,26.301,7.131,0.001,45.843,702.468,0.035,34.943
